央视IPV4,#genre#
炫舞未来,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000001000000515/1.m3u8?channel-id=ystenlive&Contentid=1000000001000000515&livemode=1&stbId=3
黑莓电影,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000004000019624/1.m3u8?channel-id=ystenlive&Contentid=1000000004000019624&livemode=1&stbId=3
黑莓动画,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000004000021734/1.m3u8?channel-id=ystenlive&Contentid=1000000004000021734&livemode=1&stbId=3
哒啵电竞,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000006000032327/1.m3u8?channel-id=ystenlive&Contentid=1000000006000032327&livemode=1&stbId=3
欢乐剧场,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000005000266012/1.m3u8?channel-id=ystenlive&Contentid=1000000005000266012&livemode=1&stbId=3
家庭剧场,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000004000008284/1.m3u8?channel-id=ystenlive&Contentid=1000000004000008284&livemode=1&stbId=3
金牌综艺,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000004000026167/1.m3u8?channel-id=ystenlive&Contentid=1000000004000026167&livemode=1&stbId=3
惊悚悬疑,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000004000024282/1.m3u8?channel-id=ystenlive&Contentid=1000000004000024282&livemode=1&stbId=3
东北热剧,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000005000266013/1.m3u8?channel-id=ystenlive&Contentid=1000000005000266013&livemode=1&stbId=3
动作电影,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000004000018653/1.m3u8?channel-id=ystenlive&Contentid=1000000004000018653&livemode=1&stbId=3
精品综合,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000004000019008/1.m3u8?channel-id=ystenlive&Contentid=1000000004000019008&livemode=1&stbId=3
精品大剧,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000004000013968/1.m3u8?channel-id=ystenlive&Contentid=1000000004000013968&livemode=1&stbId=3
精品体育,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000004000014634/1.m3u8?channel-id=ystenlive&Contentid=1000000004000014634&livemode=1&stbId=3
精品萌宠,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000006000032328/1.m3u8?channel-id=ystenlive&Contentid=1000000006000032328&livemode=1&stbId=3
超级电影,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000003000012426/1.m3u8?channel-id=ystenlive&Contentid=1000000003000012426&livemode=1&stbId=3
超级体育,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000001000009601/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009601&livemode=1&stbId=3
超级综艺,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000006000268002/1.m3u8?channel-id=ystenlive&Contentid=1000000006000268002&livemode=1&stbId=3
超级电视剧,http://[2409:8087:5e20:24::d]:6610/000000001000/1000000006000268003/1.m3u8?channel-id=ystenlive&Contentid=1000000006000268003&livemode=1&stbId=3


IHOT频道,#genre#
爱喜剧,http://php.jdshipin.com/itv6.php?cid=hnbblive&id=2000000004000000032
爱科幻,http://php.jdshipin.com/itv6.php?cid=hnbblive&id=2000000004000000033
爱院线,http://php.jdshipin.com/itv6.php?cid=hnbblive&id=2000000004000000034
爱浪漫,http://php.jdshipin.com/itv6.php?cid=hnbblive&id=2000000004000000035
爱悬疑,http://php.jdshipin.com/itv6.php?cid=hnbblive&id=2000000004000000036
爱谍战,http://php.jdshipin.com/itv6.php?cid=hnbblive&id=2000000004000000038
爱历史,http://php.jdshipin.com/itv6.php?cid=hnbblive&id=2000000004000000046
爱科学,http://php.jdshipin.com/itv6.php?cid=hnbblive&id=2000000004000000047
爱幼教,http://php.jdshipin.com/itv6.php?cid=hnbblive&id=2000000004000000049
爱玩具,http://php.jdshipin.com/itv6.php?cid=hnbblive&id=2000000004000000053
爱赛车,http://php.jdshipin.com/itv6.php?cid=hnbblive&id=2000000004000000055
爱旅行,http://php.jdshipin.com/itv6.php?cid=hnbblive&id=2000000004000000056
爱奇谈,http://php.jdshipin.com/itv6.php?cid=hnbblive&id=2000000004000000058
爱动漫,http://php.jdshipin.com/itv6.php?cid=hnbblive&id=2000000004000000059
爱体育,http://php.jdshipin.com/itv6.php?cid=hnbblive&id=2000000004000000060
